MemberId,Name,Signature,StartLine,EndLine,LineCount,CalledMethodNames,ResolvedTargetIds,AmbiguousMethodNames,UnresolvedMethodNames,CallCount,ResolvedCount,AmbiguousCount,UnresolvedCount
Method|IsModInfoDragInitiationBlocked(DependencyObject?)|L1306,IsModInfoDragInitiationBlocked,IsModInfoDragInitiationBlocked(DependencyObject?),1306,1319,14,,,,,0,0,0,0
"Method|DisableAutoRefreshMenuItem_OnClick(object,RoutedEventArgs)|L1325",DisableAutoRefreshMenuItem_OnClick,"DisableAutoRefreshMenuItem_OnClick(object,RoutedEventArgs)",1325,1355,31,,,,,0,0,0,0
"Method|AutomaticDataBackupsMenuItem_OnClick(object,RoutedEventArgs)|L1357",AutomaticDataBackupsMenuItem_OnClick,"AutomaticDataBackupsMenuItem_OnClick(object,RoutedEventArgs)",1357,1390,34,,,,,0,0,0,0
"Method|DisableInternetAccessMenuItem_OnClick(object,RoutedEventArgs)|L1392",DisableInternetAccessMenuItem_OnClick,"DisableInternetAccessMenuItem_OnClick(object,RoutedEventArgs)",1392,1401,10,,,,,0,0,0,0
"Method|ThemeMenuItem_OnClick(object,RoutedEventArgs)|L1403",ThemeMenuItem_OnClick,"ThemeMenuItem_OnClick(object,RoutedEventArgs)",1403,1435,33,ClearScrollViewerCache;GenerateSurprisePalette;UpdateThemeMenuSelection,"Method|ClearScrollViewerCache()|L13869;Method|GenerateSurprisePalette()|L1461;Method|UpdateThemeMenuSelection(ColorTheme,string?)|L1442",,,3,3,0,0
"Method|EditThemeMenuItem_OnClick(object,RoutedEventArgs)|L1437",EditThemeMenuItem_OnClick,"EditThemeMenuItem_OnClick(object,RoutedEventArgs)",1437,1440,4,ShowCustomThemeEditor,Method|ShowCustomThemeEditor()|L1538,,,1,1,0,0
"Method|UpdateThemeMenuSelection(ColorTheme,string?)|L1442",UpdateThemeMenuSelection,"UpdateThemeMenuSelection(ColorTheme,string?)",1442,1459,18,,,,,0,0,0,0
Method|GenerateSurprisePalette()|L1461,GenerateSurprisePalette,GenerateSurprisePalette(),1461,1469,9,GenerateRandomColor,Method|GenerateRandomColor(string)|L1471,,,1,1,0,0
Method|GenerateRandomColor(string)|L1471,GenerateRandomColor,GenerateRandomColor(string),1471,1486,16,,,,,0,0,0,0
Method|RefreshCustomThemeMenuItems()|L1488,RefreshCustomThemeMenuItems,RefreshCustomThemeMenuItems(),1488,1536,49,,,,,0,0,0,0
