MemberId,Name,Signature,StartLine,EndLine,CallerIds,CallerSignatures,CallerCount
Method|IsActiveSortMember(string?)|L3476,IsActiveSortMember,IsActiveSortMember(string?),3476,3483,"Method|BuildSortDescriptions(string,ListSortDirection)|L3548;Method|BuildSortDisplayName(string,ListSortDirection)|L3575;Method|NormalizeSortMemberPath(string)|L3485;Method|SortOptionMatches(SortOption,string,ListSortDirection)|L3526","BuildSortDescriptions(string,ListSortDirection);BuildSortDisplayName(string,ListSortDirection);NormalizeSortMemberPath(string);SortOptionMatches(SortOption,string,ListSortDirection)",4
Method|NormalizeSortMemberPath(string)|L3485,NormalizeSortMemberPath,NormalizeSortMemberPath(string),3485,3497,"Method|ApplyModListSort(string,ListSortDirection,bool)|L3431;Method|FindMatchingSortOption(string,ListSortDirection)|L3509;Method|SortMemberMatches(string?,string)|L3499","ApplyModListSort(string,ListSortDirection,bool);FindMatchingSortOption(string,ListSortDirection);SortMemberMatches(string?,string)",3
"Method|SortMemberMatches(string?,string)|L3499",SortMemberMatches,"SortMemberMatches(string?,string)",3499,3507,"Method|UpdateColumnSortVisuals(string,ListSortDirection)|L3620","UpdateColumnSortVisuals(string,ListSortDirection)",1
"Method|FindMatchingSortOption(string,ListSortDirection)|L3509",FindMatchingSortOption,"FindMatchingSortOption(string,ListSortDirection)",3509,3524,"Method|ApplyModListSort(string,ListSortDirection,bool)|L3431","ApplyModListSort(string,ListSortDirection,bool)",1
"Method|SortOptionMatches(SortOption,string,ListSortDirection)|L3526",SortOptionMatches,"SortOptionMatches(SortOption,string,ListSortDirection)",3526,3546,"Method|FindMatchingSortOption(string,ListSortDirection)|L3509","FindMatchingSortOption(string,ListSortDirection)",1
"Method|BuildSortDescriptions(string,ListSortDirection)|L3548",BuildSortDescriptions,"BuildSortDescriptions(string,ListSortDirection)",3548,3573,"Method|ApplyModListSort(string,ListSortDirection,bool)|L3431","ApplyModListSort(string,ListSortDirection,bool)",1
"Method|BuildSortDisplayName(string,ListSortDirection)|L3575",BuildSortDisplayName,"BuildSortDisplayName(string,ListSortDirection)",3575,3594,"Method|ApplyModListSort(string,ListSortDirection,bool)|L3431","ApplyModListSort(string,ListSortDirection,bool)",1
Method|UpdateSortPreferenceFromSelectedOption(bool)|L3596,UpdateSortPreferenceFromSelectedOption,UpdateSortPreferenceFromSelectedOption(bool),3596,3618,"Method|ApplySortOption(SortOption,bool)|L3450;Method|RestoreSortPreference()|L3418;Method|ViewModelOnPropertyChanged(object?,PropertyChangedEventArgs)|L2963","ApplySortOption(SortOption,bool);RestoreSortPreference();ViewModelOnPropertyChanged(object?,PropertyChangedEventArgs)",3
"Method|UpdateColumnSortVisuals(string,ListSortDirection)|L3620",UpdateColumnSortVisuals,"UpdateColumnSortVisuals(string,ListSortDirection)",3620,3629,Method|UpdateSortPreferenceFromSelectedOption(bool)|L3596,UpdateSortPreferenceFromSelectedOption(bool),1
Method|ClearColumnSortIndicators()|L3631,ClearColumnSortIndicators,ClearColumnSortIndicators(),3631,3636,Method|UpdateSortPreferenceFromSelectedOption(bool)|L3596,UpdateSortPreferenceFromSelectedOption(bool),1
Method|InitializeViewModelAsync(MainViewModel)|L3638,InitializeViewModelAsync,InitializeViewModelAsync(MainViewModel),3638,3667,"Method|MainWindow_Loaded(object,RoutedEventArgs)|L590;Method|ReloadViewModelAsync()|L4358","MainWindow_Loaded(object,RoutedEventArgs);ReloadViewModelAsync()",2
Method|DisposeCurrentViewModel()|L3669,DisposeCurrentViewModel,DisposeCurrentViewModel(),3669,3678,"Method|HandleViewModelInitializationFailure(Exception)|L4340;Method|MainWindow_OnClosing(object?,CancelEventArgs)|L1107","HandleViewModelInitializationFailure(Exception);MainWindow_OnClosing(object?,CancelEventArgs)",2
Method|DisposeViewModel(MainViewModel?)|L3680,DisposeViewModel,DisposeViewModel(MainViewModel?),3680,3687,Method|DisposeCurrentViewModel()|L3669;Method|ReloadViewModelAsync()|L4358,DisposeCurrentViewModel();ReloadViewModelAsync(),2
Method|StartModsWatcher()|L3689,StartModsWatcher,StartModsWatcher(),3689,3701,Method|InitializeViewModelAsync(MainViewModel)|L3638;Method|ReloadViewModelAsync()|L4358,InitializeViewModelAsync(MainViewModel);ReloadViewModelAsync(),2
Method|StartGameSessionMonitor()|L3703,StartGameSessionMonitor,StartGameSessionMonitor(),3703,3732,Method|InitializeViewModelAsync(MainViewModel)|L3638,InitializeViewModelAsync(MainViewModel),1
Method|StopGameSessionMonitor()|L3734,StopGameSessionMonitor,StopGameSessionMonitor(),3734,3741,Method|DisposeCurrentViewModel()|L3669;Method|ReloadViewModelAsync()|L4358;Method|ShowModUsagePromptDialogAsync()|L962;Method|StartGameSessionMonitor()|L3703,DisposeCurrentViewModel();ReloadViewModelAsync();ShowModUsagePromptDialogAsync();StartGameSessionMonitor(),4
"Method|GameSessionMonitor_OnPromptRequired(object?,EventArgs)|L3743",GameSessionMonitor_OnPromptRequired,"GameSessionMonitor_OnPromptRequired(object?,EventArgs)",3743,3746,,,0
Method|ScanForModConfigFilesAsync(MainViewModel)|L3748,ScanForModConfigFilesAsync,ScanForModConfigFilesAsync(MainViewModel),3748,3752,"Method|ScanForModConfigsMenuItem_OnClick(object,RoutedEventArgs)|L6644","ScanForModConfigsMenuItem_OnClick(object,RoutedEventArgs)",1
"Method|ScanForModConfigFilesAsync(MainViewModel,IReadOnlyCollection<string>?)|L3754",ScanForModConfigFilesAsync,"ScanForModConfigFilesAsync(MainViewModel,IReadOnlyCollection<string>?)",3754,3788,,,0
"Method|ScanForModConfigFilesAsync(MainViewModel,IReadOnlyList<ModListItemViewModel>)|L3790",ScanForModConfigFilesAsync,"ScanForModConfigFilesAsync(MainViewModel,IReadOnlyList<ModListItemViewModel>)",3790,3866,,,0
"Method|FindConfigMatches(IReadOnlyList<(string ModId, string DisplayName)>,IReadOnlyList<string>)|L3868",FindConfigMatches,"FindConfigMatches(IReadOnlyList<(string ModId, string DisplayName)>,IReadOnlyList<string>)",3868,3943,"Method|ScanForModConfigFilesAsync(MainViewModel,IReadOnlyList<ModListItemViewModel>)|L3790","ScanForModConfigFilesAsync(MainViewModel,IReadOnlyList<ModListItemViewModel>)",1
