MemberId,Type,Name,Signature,StartLine,EndLine,LineCount,Modifiers,ReturnType,Parameters
Method|CreateAutomaticBackupAsync(string)|L9696,Method,CreateAutomaticBackupAsync,CreateAutomaticBackupAsync(string),9696,9703,8,private,Task,string trigger
Method|CreateAppStartedBackupAsync()|L9705,Method,CreateAppStartedBackupAsync,CreateAppStartedBackupAsync(),9705,9712,8,private,Task,
"Method|CreateBackupAsync(string,string,bool,bool)|L9714",Method,CreateBackupAsync,"CreateBackupAsync(string,string,bool,bool)",9714,9789,76,private async,Task,"string trigger, string fallbackFileName, bool pruneAutomaticBackups, bool pruneAppStartedBackups"
Method|CaptureConfigurationsForBackup(IReadOnlyList<ModListItemViewModel>)|L9791,Method,CaptureConfigurationsForBackup,CaptureConfigurationsForBackup(IReadOnlyList<ModListItemViewModel>),9791,9845,55,private,"IReadOnlyDictionary<string, IReadOnlyList<ModConfigurationSnapshot>>?",IReadOnlyList<ModListItemViewModel> mods
Method|IsAppStartedBackup(string?)|L9847,Method,IsAppStartedBackup,IsAppStartedBackup(string?),9847,9854,8,private static,bool,string? path
Method|PruneAutomaticBackups(string)|L9856,Method,PruneAutomaticBackups,PruneAutomaticBackups(string),9856,9885,30,private static,void,string directory
Method|PruneAppStartedBackups(string)|L9887,Method,PruneAppStartedBackups,PruneAppStartedBackups(string),9887,9916,30,private static,void,string directory
Method|BuildCloudModlistName()|L9918,Method,BuildCloudModlistName,BuildCloudModlistName(),9918,9921,4,private static,string,
Method|EnsureQuestPdfLicense()|L9923,Method,EnsureQuestPdfLicense,EnsureQuestPdfLicense(),9923,9929,7,private static,void,
Method|GetLines(string)|L9931,Method,GetLines,GetLines(string),9931,9937,7,private static,string[],string content
"Method|GenerateInstalledModsPdf(string,string,string?,string?,string,string?,IReadOnlyList<ModListItemViewModel>,SerializablePreset,SerializableConfigList?)|L9939",Method,GenerateInstalledModsPdf,"GenerateInstalledModsPdf(string,string,string?,string?,string,string?,IReadOnlyList<ModListItemViewModel>,SerializablePreset,SerializableConfigList?)",9939,10051,113,private static,void,"string filePath, string listName, string? modlistVersion, string? description, string uploaderName, string? gameVersion, IReadOnlyList<ModListItemViewModel> mods, SerializablePreset serializable, SerializableConfigList? configList"
Method|GetUploaderNameForPdf()|L10053,Method,GetUploaderNameForPdf,GetUploaderNameForPdf(),10053,10065,13,private,string,
Method|DetermineUploaderName(FirebaseModlistStore)|L10067,Method,DetermineUploaderName,DetermineUploaderName(FirebaseModlistStore),10067,10072,6,private,string,FirebaseModlistStore store
"Method|SaveModlistMenuItem_OnClick(object,RoutedEventArgs)|L10074",Method,SaveModlistMenuItem_OnClick,"SaveModlistMenuItem_OnClick(object,RoutedEventArgs)",10074,10083,10,private,void,"object sender, RoutedEventArgs e"
Method|SaveModlistToCloudAsync()|L10085,Method,SaveModlistToCloudAsync,SaveModlistToCloudAsync(),10085,10175,91,private,Task,
Method|NormalizeCloudVersion(string?)|L10177,Method,NormalizeCloudVersion,NormalizeCloudVersion(string?),10177,10180,4,private static,string?,string? version
Method|BuildModConfigOptions(bool)|L10182,Method,BuildModConfigOptions,BuildModConfigOptions(bool),10182,10209,28,private,List<ModConfigOption>,bool selectByDefault = true
