Source: C:\sc\games\Simple-Mod-Manager-Refactor\VintageStoryModManager\Views\MainWindow.xaml.cs
Class:  MainWindow
Lines:  80-14442
Members: 612

Type                 Name                                                            Start      End    Lines
Method               RequireExactVsVersionMenuItem_OnClick                            1986     1992        7
Method               ExperimentalModDebuggingMenuItem_OnClick                         1994     2060       67
Method               ExperimentalAllModsDebuggingMenuItem_OnClick                     2062     2155       94
Method               CollectExperimentalModDebugLines                                 2157     2165        9
Method               CollectInstalledModDebugLines                                    2167     2178       12
Method               GetExperimentalModDebugFilePaths                                 2180     2211       32
Method               AppendExperimentalModDebugLines                                  2213     2239       27
Method               AppendInstalledModDebugLines                                     2241     2272       32
Method               AppendExperimentalModDebugFileSection                            2274     2286       13
Method               AppendExperimentalModDebugFileSectionWithModId                   2288     2304       17
Method               AppendExperimentalModDebugFileSectionWithMods                    2306     2321       16
Method               ShouldIgnoreExperimentalModDebugLine                             2323     2330        8
Method               SummarizePatchMissingLines                                       2332     2386       55
Method               SummarizePatchMissingLinesWithLineNumbers                        2388     2446       59
Method               AddOrIncrementSummary                                            2448     2463       16
Method               AddOrIncrementSummaryWithLineNumber                              2465     2481       17
Method               SummarizePatchMissingLinesWithModAndLineNumbers                  2483     2543       61
Method               AddOrIncrementSummaryWithModAndLineNumber                        2545     2562       18
Method               InitializeViewModel                                              2568     2593       26
Method               InitializeModBrowserView                                         2595     2620       26
Method               InitializeVotesCacheWatcher                                      2622     2636       15
Method               OnVotesCacheChanged                                              2638     2657       20
Method               SubscribeModBrowserToDirectoryWatcher                            2659     2665        7
Method               UnsubscribeModBrowserFromDirectoryWatcher                        2667     2673        7
Method               ModsWatcherOnChangesDetected                                     2675     2691       17
Method               SyncInstalledModsToModBrowser                                    2693     2714       22
Method               AddModToInstalledAndRemoveFromSearch                             2716     2734       19
Method               InstallModFromBrowserAsync                                       2736     2842      107
Method               ConvertToModListItemViewModel                                    2848     2914       67
Method               ConvertToModReleaseInfo                                          2920     2944       25
Method               OnUserReportVoteSubmitted                                        2946     2961       16
Method               ViewModelOnPropertyChanged                                       2963     3044       82
Method               UpdateSearchColumnVisibility                                     3046     3049        4
Method               HandleModlistsVisibilityChanged                                  3051     3073       23
Method               MiddleTabControl_OnSelectionChanged                              3075     3113       39
Method               UpdateModBrowserTabVisibilityState                               3115     3129       15
Method               SyncMiddleTabControlToViewModel                                  3131     3157       27
Method               ModlistsTabControl_OnSelectionChanged                            3159     3194       36
Method               ModlistsTabControl_OnLoaded                                      3196     3199        4
Method               ApplyPreferredModlistsTabSelection                               3201     3211       11
Method               InternetAccessManager_OnInternetAccessChanged                    3213     3225       13
Method               EnsureCloudModlistsConsent                                       3227     3238       12
Method               EnsureFirebaseAuthConsent                                        3240     3265       26
Method               HasFirebaseAuthStateFile                                         3267     3271        5
Method               EnsureUserReportVotingConsent                                    3273     3282       10
Method               EnsureFirebaseAuthBackedUpIfAvailable                            3284     3316       33
Method               DeleteFirebaseAuthFiles                                          3318     3329       12
Method               TryDeleteFirebaseAuthFile                                        3331     3344       14
Method               UpdateSearchSortingBehavior                                      3346     3351        6
Method               ShouldRefreshAfterDependencyResolution                           3353     3357        5
Method               RefreshModsAfterDependencyResolutionAsync                        3359     3383       25
Method               ScheduleRefreshAfterModlistLoadIfReady                           3385     3416       32
Method               RestoreSortPreference                                            3418     3429       12
Method               ApplyModListSort                                                 3431     3448       18
Method               ApplySortOption                                                  3450     3474       25
Method               IsActiveSortMember                                               3476     3483        8
Method               NormalizeSortMemberPath                                          3485     3497       13
Method               SortMemberMatches                                                3499     3507        9
Method               FindMatchingSortOption                                           3509     3524       16
Method               SortOptionMatches                                                3526     3546       21
Method               BuildSortDescriptions                                            3548     3573       26
Method               BuildSortDisplayName                                             3575     3594       20
Method               UpdateSortPreferenceFromSelectedOption                           3596     3618       23
Method               UpdateColumnSortVisuals                                          3620     3629       10
Method               ClearColumnSortIndicators                                        3631     3636        6
Method               InitializeViewModelAsync                                         3638     3667       30
Method               DisposeCurrentViewModel                                          3669     3678       10
Method               DisposeViewModel                                                 3680     3687        8
Method               StartModsWatcher                                                 3689     3701       13
Method               StartGameSessionMonitor                                          3703     3732       30
Method               StopGameSessionMonitor                                           3734     3741        8
Method               GameSessionMonitor_OnPromptRequired                              3743     3746        4
Method               ScanForModConfigFilesAsync                                       3748     3752        5
Method               ScanForModConfigFilesAsync                                       3754     3788       35
Method               ScanForModConfigFilesAsync                                       3790     3866       77
Method               FindConfigMatches                                                3868     3943       76
Method               TryCalculateMatchScore                                           3945     3976       32
Method               CalculateBestDistance                                            3978     3986        9
Method               CalculateLevenshteinDistance                                     3988     4025       38
Method               BuildModSearchTokenSets                                          4027     4062       36
Method               AreTokenListsEqual                                               4064     4073       10
Method               BuildSearchTokens                                                4075     4087       13
Method               ExtractWords                                                     4089     4136       48
Method               StopModsWatcher                                                  4138     4146        9
Method               ModsWatcherTimerOnTick                                           4148     4173       26
Method               RefreshModsAsync                                                 4175     4207       33
Method               RefreshModDetailsOnly                                            4209     4215        7
Method               TryInitializePaths                                               4217     4232       16
Method               TryResolveDataDirectory                                          4234     4271       38
Method               TryResolveGameDirectory                                          4273     4313       41
Method               TryResolveCustomShortcut                                         4315     4338       24
Method               HandleViewModelInitializationFailure                             4340     4356       17
Method               ReloadViewModelAsync                                             4358     4420       63
Method               PromptForDirectory                                               4422     4462       41
Method               PromptForConfigFile                                              4464     4493       30
Method               GetInitialConfigDirectory                                        4495     4517       23
Method               TryValidateDataDirectory                                         4519     4557       39
Method               TryValidateGameDirectory                                         4559     4608       50
Method               ModsDataGrid_OnSorting                                           4614     4632       19
Method               ModsDataGrid_OnSelectionChanged                                  4634     4646       13
Method               ModsDataGrid_OnPreviewKeyDown                                    4648     4651        4
Method               MainWindow_OnPreviewKeyDown                                      4653     4656        4
Method               UserReportsButton_OnClick                                        4658     4722       65
Method               TryHandleModListKeyDownAsync                                     4724     4755       32
Method               ModsDataGrid_OnPreviewMouseLeftButtonDown                        4757     4779       23
Method               ModsDataGridRow_OnPreviewMouseLeftButtonDown                     4781     4796       16
Method               ModDatabaseCard_OnPreviewMouseLeftButtonDown                     4798     4813       16
Method               ModsDataGridRow_OnLoaded                                         4815     4828       14
Method               ModsDataGridRow_OnDataContextChanged                             4830     4839       10
Method               ModsDataGridRow_OnUnloaded                                       4841     4851       11
Method               ModsDataGridRow_OnMouseEnter                                     4853     4863       11
Method               ModsDataGridRow_OnMouseLeave                                     4865     4875       11
Method               ResetRowOverlays                                                 4877     4913       37
Method               AreHoverOverlaysSuppressed                                       4915     4918        4
Method               AreHoverOverlaysSuppressed                                       4920     4923        4
Method               AreHoverEffectsDisabled                                          4925     4928        4
Method               ClearRowOverlayValues                                            4930     4940       11
Method               RefreshHoverOverlayState                                         4942     4946        5
Method               RefreshRowHoverOverlays                                          4948     4956        9
Method               UpdateRowModSubscription                                         4958     4988       31
Method               SetBoundMod                                                      4990     4993        4
Method               GetBoundMod                                                      4995     4998        4
Method               SetBoundModHandler                                               5000     5003        4
Method               GetBoundModHandler                                               5005     5008        4
Method               SetRowIsHovered                                                  5010     5013        4
Method               GetRowIsHovered                                                  5015     5018        4
Method               ModDatabasePageButton_OnClick                                    5020     5028        9
Method               SelectedModCopyForServerButton_OnClick                           5030     5055       26
Method               EditConfigButton_OnClick                                         5057     5142       86
Method               DeleteModButton_OnClick                                          5144     5159       16
Method               CloseModInfoButton_OnClick                                       5161     5165        5
Method               DeleteSelectedModsAsync                                          5167     5179       13
Method               DeleteSingleModAsync                                             5181     5220       40
Method               DeleteMultipleModsAsync                                          5222     5293       72
Method               TryDeleteModAtPath                                               5295     5333       39
Method               FixModButton_OnClick                                             5335     5453      119
Method               InstallModButton_OnClick                                         5455     5557      103
Method               InstallOrUpdateDependencyAsync                                   5559     5655       97
Method               SelectReleaseForDependency                                       5657     5696       40
Method               SelectReleaseForInstall                                          5698     5705        8
Method               UpdateModButton_OnClick                                          5707     5723       17
Method               SelectedModVersionComboBox_OnSelectionChanged                    5725     5749       25
Method               SelectedModVersionComboBox_OnDropDownOpened                      5751     5771       21
Method               UpdateAllModsMenuItem_OnClick                                    5773     5822       50
Method               CheckModsCompatibilityMenuItem_OnClick                           5824     5928      105
Method               EvaluateCompatibility                                            5930     6005       76
Method               ReleaseSupportsVersion                                           6007     6019       13
Method               ModsMenuItem_OnSubmenuOpened                                     6021     6024        4
Method               DeleteCachedModsMenuItem_OnClick                                 6026     6079       54
Method               SaveInstalledModsPdfMenuItem_OnClick                             6081     6139       59
Method               TrySaveInstalledModsPdf                                          6141     6266      126
Method               ManagerDataFolderMenuItem_OnClick                                6268     6296       29
Method               ManagerModDbPageMenuItem_OnClick                                 6298     6301        4
Method               ChangeManagerFolderMenuItem_OnClick                              6303     6424      122
Method               MoveDirectoryContents                                            6426     6488       63
Method               HandleResetManagerFolder                                         6490     6584       95
Method               RestartApplication                                               6586     6615       30
Method               HelpMenuItem_OnClick                                             6617     6628       12
Method               GuideMenuItem_OnClick                                            6630     6642       13
Method               ScanForModConfigsMenuItem_OnClick                                6644     6739       96
Method               ManagerUpdateLink_OnRequestNavigate                              6741     6745        5
Method               DiscordButton_OnClick                                            6747     6780       34
Method               ModUsagePromptLink_OnClick                                       6782     6787        6
Method               OpenManagerModDatabasePage                                       6789     6817       29
Method               ExperimentalCompReviewMenuItem_OnClick                           6819     6879       61
Method               BuildExperimentalCompReviewMessage                               6881     6901       21
Method               FormatExperimentalCompReviewScore                                6903     6907        5
Method               DeleteCloudAuthMenuItem_OnClick                                  6909     6926       18
Method               ResolveExperimentalCompReviewIdentifier                          6928     6936        9
Method               TryExtractModSlug                                                6938     6971       34
Method               ClearAllCachesMenuItem_OnClick                                   6973     7088      116
Method               RestoreFirebaseAuthBackupMenuItem_OnClick                        7090     7166       77
Method               DeleteAllManagerFilesMenuItem_OnClick                            7168     7239       72
Method               SwitchToInstalledModsTab                                         7241     7245        5
Method               PrepareForModlistLoad                                            7247     7251        5
Method               UpdateModlistLoadingUiState                                      7254     7272       19
Method               RefreshDeleteCachedModsMenuHeaderAsync                           7274     7292       19
Method               CalculateDirectorySize                                           7294     7353       60
Method               GetCachedModsDirectory                                           7355     7358        4
Method               GetManagerDataDirectory                                          7360     7363        4
Method               DeleteAllManagerFiles                                            7365     7427       63
Method               AddCandidateDirectory                                            7429     7435        7
Method               AddCandidateFile                                                 7437     7443        7
Method               TryCombineSpecialFolder                                          7445     7459       15
Method               TryGetSpecialFolderPath                                          7461     7475       15
Method               TryNormalizePath                                                 7477     7490       14
Method               RefreshModsWithErrorHandlingAsync                                7492     7516       25
Method               ClearManagerCaches                                               7518     7544       27
Method               ClearCachedModsDirectory                                         7546     7551        6
Method               BuildCacheClearErrorMessage                                      7553     7570       18
Method               OnActiveGameProfileChangedAsync                                  7572     7580        9
Method               GameProfilesMenuItem_OnSubmenuOpened                             7582     7586        5
Method               CreateGameProfileMenuItem_OnClick                                7588     7638       51
Method               EditGameProfileMenuItem_OnClick                                  7640     7670       31
Method               DeleteGameProfileMenuItem_OnClick                                7672     7698       27
Method               GameProfileMenuItem_OnClick                                      7700     7714       15
Method               SelectDataFolderMenuItem_OnClick                                 7716     7733       18
Method               SelectGameFolderMenuItem_OnClick                                 7735     7750       16
Method               RefreshDeveloperProfilesMenuEntries                              7752     7790       39
Method               RefreshGameProfileMenuItems                                      7792     7832       41
Method               UpdateGameProfileMenuChecks                                      7834     7841        8
Method               UpdateActiveGameProfileDisplay                                   7843     7860       18
Method               UpdateDeveloperProfileMenuChecks                                 7862     7880       19
Method               DeveloperProfileMenuItem_OnClick                                 7882     7912       31
Method               DeveloperProfileManager_OnCurrentProfileChanged                  7914     7928       15
Method               ExitMenuItem_OnClick                                             7930     7933        4
Method               ManageServerTargetsMenuItem_OnClick                              7935     7946       12
Method               SyncToServerMenuItem_OnClick                                     7948     7997       50
Method               CreateSftpClientWrapper                                          7999     8005        7
Method               TestServerConnectionAsync                                        8007     8017       11
Method               ShowHostKeyVerificationAsync                                     8019     8032       14
Method               UpdateSyncToServerMenuState                                      8034     8039        6
Method               TryEnsureDataBackupBeforeLaunchAsync                             8041     8080       40
Method               LaunchGameButton_OnClick                                         8082     8162       81
Method               SetCustomShortcutMenuItem_OnClick                                8164     8238       75
Method               RestoreDataFolderMenuItem_OnSubmenuOpened                        8240     8347      108
Method               RestoreDataFolderMenuItem_OnBackupClick                          8349     8372       24
Method               OpenDataBackupDirectoryMenuItem_OnClick                          8374     8412       39
Method               ChangeBackupLocationMenuItem_OnClick                             8414     8456       43
Method               DeleteDataFolderBackupsMenuItem_OnClick                          8458     8526       69
Method               RestoreBackupMenuItem_OnSubmenuOpened                            8528     8600       73
Method               RestoreBackupMenuItem_OnBackupClick                              8602     8615       14
Method               RestoreBackupAsync                                               8617     8651       35
Method               RestoreDataBackupAsync                                           8653     8711       59
Method               CreateDataBackupProgressReporter                                 8713     8723       11
Method               ShowDataBackupOverlay                                            8725     8730        6
Method               HideDataBackupOverlay                                            8732     8737        6
Method               BeginModlistInstallUi                                            8739     8747        9
Method               UpdateModlistInstallUi                                           8749     8759       11
Method               CompleteModlistInstallStep                                       8761     8769        9
