FieldName,DeclaredInFile,ReadByMethods,WrittenByMethods,UsedByPartialFiles,UsageCount,CandidateOwnerPartial,Notes
_firebaseMigrationAttempted,MainWindow.Core.cs,MainWindow.CloudInfrastructure.cs::MigrateLegacyFirebaseDataIfNeededAsync,MainWindow.CloudInfrastructure.cs::MigrateLegacyFirebaseDataIfNeededAsync,MainWindow.CloudInfrastructure.cs,2,MainWindow.CloudInfrastructure.cs,Predominantly used by MainWindow.CloudInfrastructure.cs; consider moving field there.
_gameDirectory,MainWindow.Core.cs,MainWindow.PathInitialization.cs::TryInitializePaths;MainWindow.PathInitialization.cs::TryResolveGameDirectory,MainWindow.PathInitialization.cs::TryResolveGameDirectory;MainWindow.PathSelection.cs::SelectGameFolderMenuItem_OnClick,MainWindow.PathInitialization.cs;MainWindow.PathSelection.cs,6,MainWindow.PathInitialization.cs,Predominantly used by MainWindow.PathInitialization.cs; consider moving field there.
_gameProfileMenuItems,MainWindow.Core.cs,MainWindow.Profiles.cs::RefreshGameProfileMenuItems;MainWindow.Profiles.cs::UpdateGameProfileMenuChecks,,MainWindow.Profiles.cs,4,MainWindow.Profiles.cs,Predominantly used by MainWindow.Profiles.cs; consider moving field there.
_gameSessionMonitor,MainWindow.Core.cs,MainWindow.ModUsage.cs::ShowModUsagePromptDialogAsync;MainWindow.ModUsage.cs::StartGameSessionMonitor;MainWindow.ModUsage.cs::StopGameSessionMonitor;MainWindow.ModUsage.cs::TryShowModUsagePromptAsync,MainWindow.ModUsage.cs::StartGameSessionMonitor;MainWindow.ModUsage.cs::StopGameSessionMonitor,MainWindow.ModUsage.cs,13,MainWindow.ModUsage.cs,Predominantly used by MainWindow.ModUsage.cs; consider moving field there.
_hasAppliedInitialModInfoPanelPosition,MainWindow.Core.cs,MainWindow.ModInfoPanel.cs::EnsureModInfoPanelWithinBounds,MainWindow.ModInfoPanel.cs::ApplyStoredModInfoPanelPosition,MainWindow.ModInfoPanel.cs,2,MainWindow.ModInfoPanel.cs,Predominantly used by MainWindow.ModInfoPanel.cs; consider moving field there.
_installedColumnVisibilityPreferences,MainWindow.Core.cs,MainWindow.ColumnVisibility.cs::ApplyColumnVisibilityPreferencesToViewModel;MainWindow.ColumnVisibility.cs::InstalledModsColumnMenuItem_OnChecked;MainWindow.ColumnVisibility.cs::RegisterColumnMenuItem,,MainWindow.ColumnVisibility.cs,3,MainWindow.ColumnVisibility.cs,Predominantly used by MainWindow.ColumnVisibility.cs; consider moving field there.
_isApplyingMultiToggle,MainWindow.Core.cs,MainWindow.ModActivationInput.cs::ActiveToggle_OnToggled,MainWindow.ModActivationInput.cs::ActiveToggle_OnToggled,MainWindow.ModActivationInput.cs,3,MainWindow.ModActivationInput.cs,Predominantly used by MainWindow.ModActivationInput.cs; consider moving field there.
_isApplyingPreset,MainWindow.Core.cs,MainWindow.GameLaunch.cs::LaunchGameButton_OnClick;MainWindow.ModGridInput.cs::ModDatabaseCard_OnPreviewMouseLeftButtonDown;MainWindow.ModGridInput.cs::ModsDataGridRow_OnPreviewMouseLeftButtonDown;MainWindow.ModGridInput.cs::ModsDataGrid_OnPreviewMouseLeftButtonDown;MainWindow.ModGridInput.cs::TryHandleModListKeyDownAsync;MainWindow.ModUpdateCommands.cs::UpdateAllModsMenuItem_OnClick;MainWindow.ModlistLoading.cs::UpdateModlistLoadingUiState;MainWindow.PresetApplication.cs::ApplyPresetAsync;MainWindow.Startup.cs::MainWindow_OnClosing,MainWindow.PresetApplication.cs::ApplyPresetAsync,MainWindow.GameLaunch.cs;MainWindow.ModGridInput.cs;MainWindow.ModlistLoading.cs;MainWindow.ModUpdateCommands.cs;MainWindow.PresetApplication.cs;MainWindow.Startup.cs,11,MainWindow.ModGridInput.cs,Predominantly used by MainWindow.ModGridInput.cs; consider moving field there.
_isAutomaticRefreshRunning,MainWindow.Core.cs,MainWindow.ModsWatcherTimer.cs::ModsWatcherTimerOnTick,MainWindow.ModsWatcherTimer.cs::ModsWatcherTimerOnTick;MainWindow.ModsWatcherTimer.cs::StopModsWatcher,MainWindow.ModsWatcherTimer.cs,4,MainWindow.ModsWatcherTimer.cs,Predominantly used by MainWindow.ModsWatcherTimer.cs; consider moving field there.
_isCloudModlistRefreshInProgress,MainWindow.Core.cs,MainWindow.CloudLoad.cs::RefreshCloudModlistsAsync;MainWindow.CloudLoad.cs::UpdateCloudModlistControlsEnabledState,MainWindow.CloudLoad.cs::RefreshCloudModlistsAsync,MainWindow.CloudLoad.cs,4,MainWindow.CloudLoad.cs,Predominantly used by MainWindow.CloudLoad.cs; consider moving field there.
_isDependencyResolutionRefreshPending,MainWindow.Core.cs,MainWindow.ModRefresh.cs::RefreshModsAfterDependencyResolutionAsync,MainWindow.ModRefresh.cs::RefreshModsAfterDependencyResolutionAsync,MainWindow.ModRefresh.cs,3,MainWindow.ModRefresh.cs,Predominantly used by MainWindow.ModRefresh.cs; consider moving field there.
_isDraggingModInfoPanel,MainWindow.Core.cs,MainWindow.ModInfoPanel.cs::ModInfoBorder_OnLostMouseCapture;MainWindow.ModInfoPanel.cs::ModInfoBorder_OnMouseLeftButtonUp;MainWindow.ModInfoPanel.cs::ModInfoBorder_OnMouseMove;MainWindow.ModInfoPanel.cs::RootGrid_OnSizeChanged,MainWindow.ModInfoPanel.cs::ModInfoBorder_OnLostMouseCapture;MainWindow.ModInfoPanel.cs::ModInfoBorder_OnMouseLeftButtonDown;MainWindow.ModInfoPanel.cs::ModInfoBorder_OnMouseLeftButtonUp,MainWindow.ModInfoPanel.cs,7,MainWindow.ModInfoPanel.cs,Predominantly used by MainWindow.ModInfoPanel.cs; consider moving field there.
