XamlFile,ElementName,EventName,HandlerName,HandlerPartialFile
MainWindow.xaml,ModlistsTabControl,Loaded,ModlistsTabControl_OnLoaded,MainWindow.Navigation.cs
MainWindow.xaml,ModlistsTabControl,SelectionChanged,ModlistsTabControl_OnSelectionChanged,MainWindow.Navigation.cs
MainWindow.xaml,ModsDataGrid,PreviewKeyDown,ModsDataGrid_OnPreviewKeyDown,MainWindow.ModGridInput.cs
MainWindow.xaml,ModsDataGrid,PreviewMouseLeftButtonDown,ModsDataGrid_OnPreviewMouseLeftButtonDown,MainWindow.ModGridInput.cs
MainWindow.xaml,ModsDataGrid,PreviewMouseWheel,ModsDataGrid_OnPreviewMouseWheel,MainWindow.ModGridScrolling.cs
MainWindow.xaml,ModsDataGrid,SelectionChanged,ModsDataGrid_OnSelectionChanged,MainWindow.ModGridInput.cs
MainWindow.xaml,ModsDataGrid,Sorting,ModsDataGrid_OnSorting,MainWindow.Sorting.cs
MainWindow.xaml,NameColumnMenuItem,Checked,InstalledModsColumnMenuItem_OnChecked,MainWindow.ColumnVisibility.cs
MainWindow.xaml,NameColumnMenuItem,Unchecked,InstalledModsColumnMenuItem_OnChecked,MainWindow.ColumnVisibility.cs
MainWindow.xaml,RefreshCloudModlistsButton,Click,RefreshCloudModlistsButton_OnClick,MainWindow.CloudLoad.cs
MainWindow.xaml,RestoreDataFolderMenuItem,SubmenuOpened,RestoreDataFolderMenuItem_OnSubmenuOpened,MainWindow.DataFolderBackups.cs
MainWindow.xaml,SaveCloudModlistButton,Click,SaveCloudModlistButton_OnClick,MainWindow.CloudSave.cs
MainWindow.xaml,SaveLocalModlistButton,Click,SaveLocalModlistButton_OnClick,MainWindow.LocalModlists.cs
MainWindow.xaml,SelectedModCopyForServerButton,Click,SelectedModCopyForServerButton_OnClick,MainWindow.ServerModCopy.cs
MainWindow.xaml,SelectedModDatabasePageButton,Click,ModDatabasePageButton_OnClick,MainWindow.ModBrowser.cs
MainWindow.xaml,SelectedModDeleteButton,Click,DeleteModButton_OnClick,MainWindow.ModDeletion.cs
MainWindow.xaml,SelectedModEditConfigButton,Click,EditConfigButton_OnClick,MainWindow.ModConfiguration.cs
MainWindow.xaml,SelectedModFixButton,Click,FixModButton_OnClick,MainWindow.ModDependencyRepair.cs
MainWindow.xaml,SelectedModUpdateButton,Click,UpdateModButton_OnClick,MainWindow.ModUpdateCommands.cs
MainWindow.xaml,SelectedModVersionComboBox,DropDownOpened,SelectedModVersionComboBox_OnDropDownOpened,MainWindow.ModUpdateCommands.cs
MainWindow.xaml,SelectedModVersionComboBox,SelectionChanged,SelectedModVersionComboBox_OnSelectionChanged,MainWindow.ModUpdateCommands.cs
MainWindow.xaml,SideColumnMenuItem,Checked,InstalledModsColumnMenuItem_OnChecked,MainWindow.ColumnVisibility.cs
MainWindow.xaml,SideColumnMenuItem,Unchecked,InstalledModsColumnMenuItem_OnChecked,MainWindow.ColumnVisibility.cs
MainWindow.xaml,StatusColumnMenuItem,Checked,InstalledModsColumnMenuItem_OnChecked,MainWindow.ColumnVisibility.cs
MainWindow.xaml,StatusColumnMenuItem,Unchecked,InstalledModsColumnMenuItem_OnChecked,MainWindow.ColumnVisibility.cs
MainWindow.xaml,SyncToServerMenuItem,Click,SyncToServerMenuItem_OnClick,MainWindow.ServerSync.cs
MainWindow.xaml,TagsColumnMenuItem,Checked,InstalledModsColumnMenuItem_OnChecked,MainWindow.ColumnVisibility.cs
MainWindow.xaml,TagsColumnMenuItem,Unchecked,InstalledModsColumnMenuItem_OnChecked,MainWindow.ColumnVisibility.cs
MainWindow.xaml,ui:ToggleSwitch,PreviewMouseLeftButtonDown,ActiveToggle_OnPreviewMouseLeftButtonDown,MainWindow.ModActivationInput.cs
MainWindow.xaml,ui:ToggleSwitch,PreviewMouseLeftButtonUp,ActiveToggle_OnPreviewMouseLeftButtonUp,MainWindow.ModActivationInput.cs
MainWindow.xaml,ui:ToggleSwitch,PreviewMouseMove,ActiveToggle_OnPreviewMouseMove,MainWindow.ModActivationInput.cs
MainWindow.xaml,ui:ToggleSwitch,Toggled,ActiveToggle_OnToggled,MainWindow.ModActivationInput.cs
MainWindow.xaml,UpdateAllButton,Click,UpdateAllModsMenuItem_OnClick,MainWindow.ModUpdateCommands.cs
MainWindow.xaml,UserReportsColumnMenuItem,Checked,InstalledModsColumnMenuItem_OnChecked,MainWindow.ColumnVisibility.cs
MainWindow.xaml,UserReportsColumnMenuItem,Unchecked,InstalledModsColumnMenuItem_OnChecked,MainWindow.ColumnVisibility.cs
MainWindow.xaml,VersionColumnMenuItem,Checked,InstalledModsColumnMenuItem_OnChecked,MainWindow.ColumnVisibility.cs
MainWindow.xaml,VersionColumnMenuItem,Unchecked,InstalledModsColumnMenuItem_OnChecked,MainWindow.ColumnVisibility.cs
